section,skill,description,level_n,level,level_EU,in_resume
Personal,Team leadership,NA,4.75,NA,NA,NA
Personal,Project Managment,NA,5,NA,NA,NA
Personal,Analisi di dati,NA,5,NA,NA,NA
Personal,Creatività,NA,5,NA,NA,NA
Personal,Adattabilità,NA,5,NA,NA,NA
Languages,Italiano,NA,5,Madrelingua,Madrelingua,NA
Languages,Inglese,NA,3.5,Proficient,C2,NA
Languages,Spagnolo,NA,3.25,Proficient,C2,NA
Languages,Portoghese,NA,3.5,Basic,A2,NA
Languages,Francese,NA,NA,NA,NA,NA
Software,MS Office Suite,NA,5,Proficient,NA,NA
Software,Statistica/Database,"R, RStudio, Stata, SQL, Salesforce, MS Excel",4.5,Proficient,NA,NA
Software,GIS,"ArcGIS, QGIS, GeoDa, OpenStreetMap",3,Basic,NA,NA
Software,Altro,"Git, Github, Unix Shell, CSS, HTML, LaTeX, Markdown",3,Basic,NA,NA
